Nome Attività,Categoria,Sito Web,Telefono,Indirizzo,Comune,Provincia,Email
La Taverna,Restaurant,https://www.facebook.com/La-Taverna-2050257145089203/,380 438 7393,"Riviera Nazario Sauro, 10",Gallipoli,Lecce,
Mamangi,Italian restaurant,,348 728 2711,"Piazza della Repubblica, 1",Gallipoli,Lecce,
Lievita 72,Pizza restaurant,http://www.linktr.ee/lievita72,347 226 5994,"Corso Roma, 62",Gallipoli,Lecce,
Ristorante Torre Sabea - Cucina agricola,Italian restaurant,,339 710 9902,"SS101, km 3",Gallipoli,Lecce,
Lazzaro & Caterina - Ristorante Pizzeria Gallipoli,Restaurant,https://www.palazzopresta.it/lazzaro-e-caterina-ristorante-pizzeria-gourmet-gallipoli/,0833 261775,"Via G. Presta, 7",Gallipoli,Lecce,info@palazzopresta.it
Vesuvio,Pizza restaurant,http://www.vesuviogallipoli.it/,348 380 3223,Via Lecce,Gallipoli,Lecce,logo@2x-1-vesuvio.png
Il Bastione,Seafood restaurant,http://www.ilbastionegallipoli.it/,0833 263836,"Riviera Nazario Sauro, 28",Gallipoli,Lecce,
Vecchio Ingrosso,Espresso bar,,389 317 8214,"Riviera Cristoforo Colombo, 19",Gallipoli,Lecce,
Trattoria Stella Marina,Restaurant,,340 055 6233,"Corso Roma, 157",Gallipoli,Lecce,
WeGrill Gallipoli,Chophouse restaurant,,350 082 6824,"Via Quartini, 1/5",Gallipoli,Lecce,
Il Macchiolino,Restaurant,,339 375 1444,"Via B. Ravenna, 19",Gallipoli,Lecce,
Trattoria Portolano,Seafood restaurant,http://www.trattoriaportolano.it/,0833 262576,"Riviera Cristoforo Colombo, 69/71",Gallipoli,Lecce,info@elatedthemes.com
Scapricciatiello,Seafood restaurant,https://www.facebook.com/scapricciatiello65/?ti=as,0833 208601,Via Colombo,Lido Conchiglie,Lecce,
Trattoria Scoglio delle Sirene,Restaurant,http://www.scogliodellesirene.com/,0833 261091,"Riviera Nazario Sauro, 83",Gallipoli,Lecce,scogliodellesirene@hotmail.com
Osteria Palazzo Granafei,Restaurant,https://www.losteriacasanoscia.it/,0833 204726,"Via Antonietta de Pace, 85",Gallipoli,Lecce,
Agatha Amore dal Mare,Restaurant,,0833 604808,"Via Antonietta de Pace, 58",Gallipoli,Lecce,
L'OSTERIA CASA NOSCIA,Restaurant,http://www.losteriacasanoscia.it/,320 777 1543,"Via Antonietta de Pace, 85/91",Gallipoli,Lecce,
Trattoria Rosinella,Seafood restaurant,https://www.trattoriarosinella.it/,0833 169 0976,"Via Incrociata, 9",Gallipoli,Lecce,rosinella1987@libero.it
Ristorante Marechiaro,Restaurant,https://ristorantemarechiaro.net/,0833 266143,Lungomare Marconi,Gallipoli,Lecce,info@ristorantemarechiaro.net
La Giudecca,Seafood restaurant,http://www.ristorantelagiudecca.it/,347 525 1967,"Via Don Giovanni Minzoni, Lungomare Galileo Galilei",Gallipoli,Lecce,
La Locanda Degli Angioini,Seafood restaurant,https://social.quandoo.com/en/groups/la-locanda-degli-angioini-104445,347 181 6578,"Riviera Armando Diaz, 119",Gallipoli,Lecce,
Ritrò Restaurant & wine club,Seafood restaurant,,0833 262714,"Riviera Armando Diaz, 1/3",Gallipoli,Lecce,
AMU Fish Restaurant & Store,Restaurant,https://instagram.com/amufishrestaurant?igshid=YmMyMTA2M2Y=,346 892 5685,"Riviera Armando Diaz, 9",Gallipoli,Lecce,
Trattoria La Paranza,Seafood restaurant,,0833 266639,Largo dogana,Gallipoli,Lecce,
Terrazza Laurus - Cocktail Bar Gallipoli,Cocktail bar,https://www.palazzopresta.it/terrazza-laurus-rooftop-cocktail-bar-gallipoli/,0833 261775,"Via Giuseppe Garibaldi, 29",Gallipoli,Lecce,info@palazzopresta.it
Trattoria Le Caravelle,Seafood restaurant,,0833 274098,"LE, Via Lecce, 153",Gallipoli,Lecce,
Da Gino - Cucina Tipica Salentina,Restaurant,,353 331 7553,"Riviera Cristoforo Colombo, 17",Gallipoli,Lecce,
Ristorante First Gallipoli,Restaurant,,347 467 9221,"SS274, km 1",Gallipoli,Lecce,
NaPù,Bistro,https://www.instagram.com/napu_gallipoli?igsh=MXJtajI4NDRmeW54aw==,,Via Antonietta de Pace,Gallipoli,Lecce,
Antica Trattoria,Seafood restaurant,,324 557 4714,"Via Giuseppe Garibaldi, 7",Gallipoli,Lecce,
La Lampara Fish Lab,Seafood restaurant,,0833 261939,"Via Incrociata, 10/12",Gallipoli,Lecce,
Ristorante La Penisola da silvana,Seafood restaurant,,347 302 2444,"P.za Moro Aldo, 3",Gallipoli,Lecce,
Il Chiosco,Sandwich shop,,,Lungomare Galileo Galilei,Gallipoli,Lecce,
Tramontana,Restaurant,http://ristorantetramontana.it/,348 472 3676,"Via Petrelli, 15",Gallipoli,Lecce,silvanaperrone71@gmail.com
La Vecchia Caserma,Gastropub,https://www.facebook.com/lavecchiacasermagallipoli,327 533 3841,"Via Briganti, 3",Gallipoli,Lecce,
L'angolo della gastronomia,Takeout restaurant,,348 003 5214,Via Gorizia,Ruffano,Lecce,
Fuori Posto,Pub,,320 494 7462,Piazza S. Francesco,Ruffano,Lecce,
Pescheria La Grotta Del Mare,Restaurant,,368 760 1191,Via S. Pio da Pietralcina,Ruffano,Lecce,
The Old Fox,Bar,,329 577 3220,"Via Rattazzi, 36",Ruffano,Lecce,
La Salentina,Pizza restaurant,,0833 692655,"Via Fiera, 6",Ruffano,Lecce,
La Fazenda,Italian restaurant,,340 679 8698,"Via Alessandro Volta, 66",Ruffano,Lecce,
Farmacia dei Sani,Restaurant,http://www.farmaciadeisani.eu/,339 833 2514,"Piazza del Popolo, 14",Ruffano,Lecce,info@farmaciadeisani.eu
Koko,Pizza restaurant,https://m.facebook.com/kokodiscopub#_=_,338 865 6234,Largo San Rocco,Ruffano,Lecce,
"Home Reastaurant ""Casa ta Nnetta""",Restaurant,,349 492 2187,"II Vico Piccinni, 19",Ruffano,Lecce,
Da Saverio - Macelleria - Osteria - Piatti Pronti,Butcher shop deli,https://www.facebook.com/arikecucinaartigiana,327 177 7542,"Via Dante Alighieri, 14",Ruffano,Lecce,
Chantilly Since 1977- Ruffano,Cake shop,,0833 182 0380,"Via A. de Gasperi, 1",Ruffano,Lecce,
Agriturismo Spirdo,Farmstay,https://www.spirdo.it/,333 255 5459,"Via Madonna della Serra, 24",Ruffano,Lecce,spirdo@gmail.com
Palazzo Danci - Home Restaurant,Italian restaurant,,389 696 5641,"Via F. Vallati, 26",Ruffano,Lecce,
Bar Trattoria il borgo,Bar,,340 940 7787,"Via A. Bortone, 6",Ruffano,Lecce,
Nonna Patrizia Restaurant & Wine,Restaurant,,,"Via Vittorio Veneto, 55",Ruffano,Lecce,
Da Pinella Home Restaurant,Italian restaurant,https://www.instagram.com/da_pinella_homerestaurant/,349 795 6356,"Via Giuseppe Garibaldi, 7",Ruffano,Lecce,
A Kilometrozero,Restaurant,https://social.quandoo.com/en/groups/a-kilometrozero-104452,340 155 7104,"Via Maggiore Galliano, 23",Supersano,Lecce,
BLUESTAR di Orsi Andrea paninoteca,Sandwich shop,,,Piazza Libertà,Ruffano,Lecce,
NON SOLO PIZZA,Pizza restaurant,,347 156 8061,Piazza Libertà,Ruffano,Lecce,
Trattoria Pizzeria La Salentina,Restaurant,,,"Via Fiera, 6",Ruffano,Lecce,
Roxy Risto-Pub,Gastropub,,,Via Arciprete Monsellato,Ruffano,Lecce,
"LA PASSEGGIATA - Ristorante, Pizzeria, Bar e Pasticceria",Seafood restaurant,https://www.ristorantelapasseggiata.com/,347 529 8690,Largo San Rocco,Ruffano,Lecce,info@ristorantelapasseggiata.com
Il Pomo d'Oro,Pizza restaurant,https://www.facebook.com/Il-Pomo-dOro-104988214336692/,0833 690624,"Via Santa Maria di Leuca, 212",Ruffano,Lecce,
La Dolce Vita,Pizza restaurant,,334 182 7464,"Piazza Madonna di Lourdes, 22 7",Ruffano,Lecce,
La Grotta,Ice cream shop,https://m.facebook.com/lagrottagelateria/?locale2=it_IT,348 883 4080,"Piazza Libertà, 30",Ruffano,Lecce,
Paninoteca Stuzzicheria da Salvatore,Fast food restaurant,,,"Piazza Madonna di Lourdes, 32",Ruffano,Lecce,
PIZZERIA PUB CABARET,Pizza restaurant,,347 407 8331,"Via Regina Elena, 88",Ruffano,Lecce,
Osteria la Vecchia Fontana,Restaurant,,340 388 6744,"Via Vittorio Emanuele, 32",Supersano,Lecce,
Classica Pizzeria Ruffano,Pizza restaurant,http://www.classicapizzeria.it/,320 946 4404,"Via Santa Maria della Finita, 5",Ruffano,Lecce,
Palummaru,Pizza restaurant,https://www.facebook.com/pages/Pizzeria-Palummaru/369123369801381?fref=ts,347 821 5869,"Via Padre Bernardo, 74",Ruffano,Lecce,
Tatanka,Restaurant,,,"73040, Via Santa Maria di Leuca",Ruffano,Lecce,
La Gazzetta Del Mezzogiorno,Restaurant,https://www.lagazzettadelmezzogiorno.it/,,Via Padre Bernardo,Ruffano,Lecce,segreteria.redazione@gazzettamezzogiorno.it
COCO Pizzeria,Pizza restaurant,,338 865 6234,"Via Villani, 10",Ruffano,Lecce,
Ristorante la Ficarigna,Restaurant,http://www.laficarigna.it/,0833 535398,"Via Grazia Deledda, 2",Specchia,Lecce,info@laficarigna.it
Arte dei Sapori,Seafood restaurant,http://www.artedeisapori.com/,0832 303534,"Via Alami, 3",Lecce,Lecce,info@artedeisapori.com
PIZZERIA SPICCHIO,Pizza restaurant,,331 955 2345,Via Vittorio Veneto,Ruffano,Lecce,
WHITE restaurant,Restaurant,https://social.quandoo.com/en/groups/white-restaurant-103582,348 820 6797,"Via Ruffano, 76",Casarano,Lecce,
Caffetteria The Garden,Bar,,345 629 0020,"Traversa Felice Cavallotti, 15",Ruffano,Lecce,
Parvus Bar,Bar,,,"LE, Via Torricella, 4",Ruffano,Lecce,
A Pummarola Di Romano Ilenia,Pizza takeaway,,324 872 4043,"Via S. Rocco, 3",Ruffano,Lecce,
Il circolo,Bar,,388 388 7977,Corso Margherita di Savoia,Ruffano,Lecce,
Cubico,Archive,,329 670 9986,"Piazza IV Novembre, 4",Ruffano,Lecce,
Le Stanzie,Restaurant,http://www.lestanzie.com/,0833 632438,SP362 Km 32.900 Supersano - Cutrofiano,Supersano,Lecce,info@lestanzie.com
Il Melograno,Restaurant,,328 285 5324,"LE, Corso Umberto I, 96",Taurisano,Lecce,
Lo Scacciapensieri Hotel & Restaurant,Restaurant,https://sites.google.com/view/loscacciapensierihotelrestaura/inicio,0832 321884,Via Alcide de Gasperi,Monteroni di Lecce,Lecce,
Ristorante Cantina Don Carlo - San Pietro in Lama,Restaurant,https://cantina-don-carlo.eatbu.com/?lang=en,0832 263299,"Via Sant'Antonio, 10",San Pietro in Lama,Lecce,
La Rustichella,Pizza restaurant,,328 279 1612,"Via Martiri Via Fani, 27",Monteroni di Lecce,Lecce,
I Sapori Del Sud,Pizza restaurant,,347 193 0920,"Via Monte Adamello, 35",Monteroni di Lecce,Lecce,
Take Away,Pizza restaurant,,333 176 6245,"Via Ofanto, 8",Monteroni di Lecce,Lecce,
Casina dei Basiliani,Restaurant,,338 674 2640,"Via Vecchia Lecce - Copertino, 16",Lecce,Lecce,
Berry Cricket,Pizza restaurant,https://social.quandoo.com/en/groups/berry-cricket-2.0-101608,329 142 6206,"Via Giovanni Falcone, 9",Monteroni di Lecce,Lecce,
Ristorante Cantuccio Del Duca,School cafeteria,https://adisupuglia.it/pagina116402_ristorazione.html,0832 325573,"Piazzeta Ignazio Falconieri, 15",Monteroni di Lecce,Lecce,direzionegenerale@pec.adisupuglia.it
Malcandrino,Restaurant,http://www.malcandrino.it/,342 312 4240,Strada Provinciale Lecce,Monteroni di Lecce,Lecce,info@malcandrino.it
Reynold's Pub,Pizza restaurant,,328 359 2110,"Piazza della Repubblica, 23",Monteroni di Lecce,Lecce,
Caffè Alla Romana,Bar,,379 124 5286,"Via Alcide de Gasperi, 96",Monteroni di Lecce,Lecce,
Fior di pizza,Pizza restaurant,,0832 323742,"Via Medaglie d'Argento Monteronesi, 9",Monteroni di Lecce,Lecce,
Queens,Pub,,327 942 3621,"Via Medaglie d'Argento Monteronesi, 121",Monteroni di Lecce,Lecce,
Trattoria Pizzeria 'Li Spilusi',Restaurant,,328 876 2832,Via Antonio Gramsci,Arnesano,Lecce,
Green Balera,Bar & grill,https://www.facebook.com/Green-Monteroni-balera-ristorante-pizzeria-218935728256027/,349 106 8406,"Contrada Lamie Russe, 26",Monteroni di Lecce,Lecce,
Take Away,Pizza restaurant,,333 176 6245,"Via Ofanto, 8",Monteroni di Lecce,Lecce,
Vergari,Cake shop,https://www.facebook.com/pages/Vergari-Fabio/106247752773167,0832 321888,"Via Rubichi, 48",Monteroni di Lecce,Lecce,
ELITE_17_Hamburgheria_Birreria_Gintoneria,Pub,,379 124 5286,"Via Alcide de Gasperi, 88",Monteroni di Lecce,Lecce,
Torre Saetta,Restaurant,https://www.latorredelsaetta.it/,324 907 0450,"Str. Comunale Saetta, 42",Monteroni di Lecce,Lecce,michele_andr@icloud.com
Il Marchese Pazzo,Pizza restaurant,,339 288 4205,"Via Manca, 24",Arnesano,Lecce,
Family Fun,Coffee shop,https://familyfan.it/,380 759 0942,"Via Adda, 11",Monteroni di Lecce,Lecce,
Pizza & Pummaro',Pizza takeaway,,320 072 9155,"Via Dalmazia, 95",Monteroni di Lecce,Lecce,
ELITE_17_Hamburgheria_Birreria_Gintoneria,Pub,,379 124 5286,"Via Alcide de Gasperi, 88",Monteroni di Lecce,Lecce,
Barrocco Green,Bar,http://www.barroccogreen.it/,0833 691581,Viale Asia,Ruffano,Lecce,
Alchimia - Cocktails Bar,Cocktail bar,,349 081 1233,"Corso Margherita di Savoia, 8",Ruffano,Lecce,
Pausa Caffe,Cafe,,328 227 9039,"Via XXI Aprile, 83-85",Monteroni di Lecce,Lecce,
La Bottega del Macellaio F.lli Quarta,Food store,,0832 321666,Piazza della Repubblica,Monteroni di Lecce,Lecce,
CORTE CELESTINI,Fish restaurant,https://social.quandoo.com/en/groups/corte-celestini-carmiano-103926,380 247 1310,"Via Lecce, 10",Carmiano,Lecce,
Dreams Cafè,Cafe,,,"Via Medaglie d'Argento Monteronesi, 12",Monteroni di Lecce,Lecce,
Trattoria Pizzeria 'Li Spilusi',Restaurant,,328 876 2832,Via Antonio Gramsci,Arnesano,Lecce,
Enjoy Bar,Bar,,,"Via M. Oronzo Politi, 10",Monteroni di Lecce,Lecce,
Torre Saetta,Restaurant,https://www.latorredelsaetta.it/,324 907 0450,"Str. Comunale Saetta, 42",Monteroni di Lecce,Lecce,michele_andr@icloud.com
Raffaello,Pastry shop,,0832 327971,"Via Rubichi, 70",Monteroni di Lecce,Lecce,
Arrosteria dell'Itria,Chophouse restaurant,https://social.quandoo.com/en/groups/arrosteria-dell-itria-100655,0832 279981,"Via de Jacobis, 11",Lecce,Lecce,
New Bar Victory,Bar,,,"Viale Trieste, 95",Monteroni di Lecce,Lecce,
Carne E Dintorni,Butcher shop,https://www.facebook.com/CarniedintorniLecce/,0832 352110,"Via Monteroni, 59",Lecce,Lecce,
Family Fun,Coffee shop,https://familyfan.it/,380 759 0942,"Via Adda, 11",Monteroni di Lecce,Lecce,
Bar Il Soldato,Espresso bar,,,"Via Monteroni, 55",Lecce,Lecce,
TAULA,Restaurant,,0832 169 0684,"Via Giuseppe Palmieri, 1/a",Lecce,Lecce,
Carriero Energy - Monteroni,Gas station,https://www.carrieroenergy.it/,342 867 8533,Via del Mare,Monteroni di Lecce,Lecce,email@email.com
La Bella Napoli,Pizza restaurant,,377 256 3073,"Via Giuseppe Garibaldi, 34",Arnesano,Lecce,
Jordan kebab,Pizza restaurant,,349 570 8720,"Via Rubichi, 95",Monteroni di Lecce,Lecce,
Il Forno da Ciccillo,Bakery,,328 960 5395,"Via Montello, 76",Monteroni di Lecce,Lecce,
Magà,Building materials store,,,"Corso Umberto I, 211",Monteroni di Lecce,Lecce,
Crazy Bull Cafè - American Restaurant,American restaurant,http://www.crazybull.it/,0832 279368,"Via Rosanna Benzi, 2a",Surbo,Lecce,amministrazione@tagim.it
Saker 2.0,Pizza restaurant,,333 176 6245,"Via Ofanto, 8",Monteroni di Lecce,Lecce,
Small Cucina And More,Restaurant,https://www.smallristorante.com/,,"Via Dante Alighieri, 59",San Cesario di Lecce,Lecce,antoniofragola@hotmail.com
Agriturismo Arangea,Bed & breakfast,http://www.arangea.it/,347 426 6522,"Via Vecchia Lecce - Copertino, 20",Lequile,Lecce,info@arangea.it
Panificio Pallara Andrea,Sandwich shop,,349 577 1947,"Via Tripoli, 54",Monteroni di Lecce,Lecce,
Antica Pucceria Giannone dal 1941,Restaurant,http://www.facebook.com/anticapucceriagiannone,0832 726430,"Via Giuseppe Libertini, 46",Lecce,Lecce,
Jolly fast food,Fast food restaurant,,338 838 0037,Piazza della Repubblica,Monteroni di Lecce,Lecce,
I Sapori del Forno,Bakery,,0832 521596,Viale Trieste,Monteroni di Lecce,Lecce,
Polleria Gala,Butcher shop deli,,328 426 1052,"Via Alessandro Pino, 130",Monteroni di Lecce,Lecce,
Il Carnaio Street Food,Restaurant,,,"Opposite Acqua & Sapone, Via Dalmazia",Monteroni di Lecce,Lecce,
La Locanda Della Cupa Di Serafino Luigi & C. Sas,Restaurant,,0832 634669,,San Pietro in Lama,Lecce,
Antichi Sapori Pasticceria Rosticceria,Bakery,,,"Via Piave, 58",Monteroni di Lecce,Lecce,
Gimmi,Restaurant,http://www.chiostrodeidomenicani.it/ristorante,0832 700920,"Via S. Pietro in Lama, 23",Lecce,Lecce,booking@gimmirestaurant.it
"Tabisca ""il Vico dei Tagliati""",Steak house,http://www.tabisca.it/,380 634 4345,Via Dietro Ospedale dei Pellegrini 29 In un vicolo presso Piazzatta Santa Chiara,Lecce,Lecce,info@tabisca.it
Terramica,Greengrocer,,0832 523254,"Via Medaglie d'Argento Monteronesi, 24",Monteroni di Lecce,Lecce,
Pizzeria Big Food,Pizza takeaway,,329 060 3483,Via Monteroni,Lecce,Lecce,
PADAMALMA,Fast food restaurant,https://www.facebook.com/Padamalma,351 361 8041,"Via Messapica, 17",Ugento,Lecce,
Autogomme Dei F.Lli Antonio Ed Alessandro Centonze,Tire shop,http://www.centonzegomme.it/,0832 322343,"Via Merano, 25",Monteroni di Lecce,Lecce,info@centonzegomme.it
Locanda Ozan Cadillac cucina tipica,Italian restaurant,,339 361 5571,"Piazza Porta S. Nicola, 7",Ugento,Lecce,
Melograni Martino - Melagrane del Salento,Orchard,https://www.melogranimartino.com/,328 793 7661,"Strada Provinciale Lecce - Arnesano, snc",Monteroni di Lecce,Lecce,info@melogranimartino.com
Ritrovo del Viandante,Restaurant,,345 737 7038,Via Roma,Ugento,Lecce,
Cantiere Hambirreria,Hamburger restaurant,http://www.cantierehambirreria.it/,389 514 1191,"Viale dell'Università, 23",Lecce,Lecce,
Il Geco,Restaurant,https://www.ilgecotrattoria.it/,389 181 4970,"Corso Umberto I', 3",Ugento,Lecce,
DUCA - Salotto dei Sapori | Ristorante di Alta Cucina,Italian restaurant,https://www.monteforteresort.com/duca-ristorante/,375 826 0100,"Via Raheli, 13",Ugento,Lecce,info@monteforteresort.com
La Locanda,Pizza restaurant,,328 098 1294,"Via Puglia, 106",Ugento,Lecce,
L’Arte del Mangiare al Duomo,Pizza restaurant,https://instagram.com/a.d._2002?igshid=YmMyMTA2M2Y=,0833 556936,"Via Camillo Benso Conte di Cavour, 6",Ugento,Lecce,
Pescheria Dal Pescatore,Fish store,,334 907 1327,"Piazza Italia, 10",Ugento,Lecce,
Il Tempo Nuovo - Fine Dining - Michelin Guide - Castello di Ugento 5*,Italian restaurant,https://www.iltemponuovo.com/,0833 185 0721,"Via Castello, 13",Ugento,Lecce,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Quartiere Ugentino,Pizza restaurant,,,Via S. Giuseppe,Ugento,Lecce,
Fernando Carbone La Salentuccia Street food Salento,Pizza restaurant,,340 976 9565,"Via Giacomo Puccini, 2/10",Ugento,Lecce,
Pomodoro Pizzeria,Pizza restaurant,,339 268 1586,"Via Cap. U. Giannuzzi, n. 85",Ugento,Lecce,
Del Corso Pizzabar,Pizza restaurant,https://instagram.com/delcorsopizzabar?igshid=NGVhN2U2NjQ0Yg==,0833 554297,"Via Messapica, 51",Ugento,Lecce,
Papa Maurizio,Restaurant,,0833 556875,"Via Amatore Sciesa, 20",Ugento,Lecce,
The Phonogram Club,Restaurant,http://thephonogramclub.com/,380 506 5099,"Piazza S. Vincenzo, 13",Ugento,Lecce,Thephonogramclub@gmail.com
A Puccia Salentina pizzeria,Pizza takeaway,https://www.apucciasalentina.it/,351 514 5972,Via Monsignor L. Pugliese,Ugento,Lecce,xbruno100x@gmail.com
Caffetteria Italia 2.0 by Giulio,Bar,,347 516 7245,"Via Capitano Ugo Giannuzzi, 94",Ugento,Lecce,
Folium pizzeria,Pizza takeaway,,0833 556794,"Via Torino, 8",Ugento,Lecce,
Eurobeach TikiBar,Restaurant,,342 506 5230,"Lungomare Japigia, snc",Torre San Giovanni,Lecce,
Tenuta Cupelle HOME RESTAURANT,Restaurant,,377 358 8189,contrada cupelle,Ugento,Lecce,
Estro Trattoria Enoteca...tipica salentina,Restaurant,,320 628 6030,"Via Consoli Romani, 4",Torre San Giovanni,Lecce,
Rivadamare,Restaurant,,0833 185 5999,"Corso Vittoria, 48",Ugento,Lecce,
Miseria e Nobiltà,Restaurant,,346 618 9576,"Via E. Fieramosca, 8",Lido Marini,Lecce,
Ristorante Pizzeria Azzurra 1986,Southern Italian restaurant,,0833 932070,"Corso Annibale, 66",Ugento,Lecce,
Pomodoro Pizzeria,Pizza restaurant,,339 268 1586,"Via Cap. U. Giannuzzi, n. 85",Ugento,Lecce,
Antichi Sapori del Salento,Restaurant,http://www.antichisaporidelsalento.it/,0833 937058,"Via Madonna dell' Aiuto, 21",Torre San Giovanni,Lecce,
jm cafe',Pizza restaurant,,349 085 2970,"presso Stazione di servizio Martinese, SP66",Ugento,Lecce,
Fernando Carbone La Salentuccia Street food Salento,Pizza restaurant,,340 976 9565,"Via Giacomo Puccini, 2/10",Ugento,Lecce,
Papa Maurizio,Restaurant,,0833 556875,"Via Amatore Sciesa, 20",Ugento,Lecce,
"Masseria Pisari, Ugento (LE) – Italia",Restaurant,http://www.francescomarra.it/,,,Ugento,Lecce,info@francescomarra.it
Ristorante Morfeo,Restaurant,http://www.ristorantemorfeo.com/,0833 937002,"SP91, km 12, 5",Ugento,Lecce,
Hotel Ristorante Teti,Hotel,https://hotelteti.com/,0833 217404,"Via Giovanni Battista Tiepolo, 14",Torre Mozza,Lecce,info@mamirevacanze.it
Megusta - Ristorante di pesce,Restaurant,https://social.quandoo.com/en/groups/mengusta-ristorante-di-pesce-lecce-104352,392 466 5876,"Via Consoli Romani, 8",Torre San Giovanni,Lecce,
Taverna Antica,Italian restaurant,,0833 162 6724,Località Fontanelle,Torre San Giovanni,Lecce,
Blue Marlin,Restaurant,,347 878 9009,,Fontanelle,Lecce,
Lido Pineta,Lido,http://www.lidopineta.it/,334 313 0040,"Località Fontanelle, SP91",Ugento,Lecce,info@lidopineta.it
Da Gino - Pizza e Sostanza,Pizza restaurant,,340 630 3423,"Corso Uxentum, 32",Torre San Giovanni,Lecce,
A Puccia Salentina pizzeria,Pizza takeaway,https://www.apucciasalentina.it/,351 514 5972,Via Monsignor L. Pugliese,Ugento,Lecce,xbruno100x@gmail.com
Ristorante Pizzeria L'antico frantoio,Restaurant,,320 628 6030,SP67,Ugento,Lecce,
Cool Garden,Restaurant,,320 314 3249,"Via G. Caboto, 29",Torre San Giovanni,Lecce,
Hotel Club Astor,Hotel,https://hotelclubastor.it/?cs=gmaps,0833 933638,Corso Versilia,Ugento,Lecce,info@hotelclubastor.it
Petra Nera,Restaurant,https://www.facebook.com/Petranera.web/,350 118 3011,"Corso Annibale, 72",Torre San Giovanni,Lecce,
Pane & Olio,Sandwich shop,https://www.apptickets.net/pane-olio,320 902 5024,Corso Uxentum,Ugento,Lecce,
Siamo Fritti Friggitoria-Braceria-Trattoria da Tony,Italian restaurant,,376 073 6308,"Corso Annibale, 128",Torre San Giovanni,Lecce,
Castello di Ugento Hotel,Hotel,https://castellodiugento.com/,0833 185 0720,"Via Castello, 13",Ugento,Lecce,
PADAMALMA,Fast food restaurant,https://www.facebook.com/Padamalma,351 361 8041,"Via Messapica, 17",Ugento,Lecce,
Lido Mania,Lido,http://www.lidomania.it/,0833 931121,Via Giovanni Battista Tiepolo,Ugento,Lecce,info@lidomania.it
"Il Gusto Giusto - Torre San Giovanni, Ugento",Deli,,320 867 9663,"Via Elba, 3",Torre San Giovanni,Lecce,
Ristorante “Artas”,Italian restaurant,,320 752 9534,"Via Fontanelle, Ugento, Le",Fontanelle,Lecce,
San Gio',Bar,,0833 826658,"Via Brescia, 26",Ugento,Lecce,
U Purpitiellu,Seafood restaurant,,338 231 0839,"Via Dea Minerva, 19",Torre San Giovanni,Lecce,
Monteforte Resort,Resort hotel,https://www.monteforteresort.com/,393 911 0928,"Via Raheli, 15/17",Ugento,Lecce,info@monteresort.com
La Vecchia Botte,Restaurant,,349 544 8482,Via Teano Ang. Via Barco Interno Parco Ozaland,Ugento,Lecce,
Le Dune,Restaurant,,338 590 6365,,Ugento,Lecce,
Hotel Ristorante I Colori del Mare,Hotel,http://www.hotelicoloridelmare.it/,339 286 3149,"Via Benedetto Croce, 9 Via G.Battista, Via Giovanni Battista Tiepolo, n.36",Ugento,Lecce,info@hotelicoloridelmare.it
SunSet Beach Torre Mozza,Lido,https://www.sunsetbeach.info/,328 206 0580,"Via Giovanni Battista Tiepolo, 64",Torre Mozza,Lecce,
Mangiamo Qualità Summer... braceria ...macelleria... piatti pronti,Barbecue restaurant,,333 431 0901,Corso Annibale,Torre San Giovanni,Lecce,
Fratelli e Fornelli,Seafood restaurant,http://www.fratelliefornelli.it/,347 284 7802,Via Giovanni Battista Tiepolo,Torre Mozza,Lecce,info@lidomania.it
Trattoria Il Riccio,Seafood restaurant,,348 342 0343,"Corso Annibale, 70",Torre San Giovanni,Lecce,
Ristorante L' ACCHIATURA,Restaurant,http://www.acchiatura.it/,392 341 1594,"Historic Center, Via Marzani, 12",Racale,Lecce,info@acchiatura.it
Fico Fish,Restaurant,https://www.facebook.com/ficofish/about,342 916 2268,Lungomare Jonio,Ugento,Lecce,
Atelier del Gusto,Pizza restaurant,https://www.pizzerianobile.it/menu.html,389 887 7541,"Via XX Settembre, 80",Lizzanello,Lecce,ateliergusto@gmail.com
Tenuta Manca,Restaurant,https://tenutamanca.com/,353 335 6660,"Case Sparse Via Comunale di Lei, 6",Lizzanello,Lecce,info@tenutamanca.com
AGRITURISMO VILLA PINA,Italian restaurant,http://www.agriturismovillapina.it/,380 771 1299,contrada LI MORI,Lizzanello,Lecce,villapina95@gmail.com
Il Frantoio Lizzanello,Country food restaurant,,349 324 6954,"Via Antonio Gramsci, 29",Lizzanello,Lecce,
Frantoio Masseria Fatalò,Restaurant,,349 324 6954,"Via Antonio Gramsci, 29",Lizzanello,Lecce,
Casina del Grillo,Restaurant,,328 313 3117,,Lizzanello,Lecce,
Hostaria Aretè,Italian restaurant,https://www.hostariarete.it/,337 826 761,Strada Provinciale Cavallino - Caprarica,Cavallino,Lecce,arete.lecce@libero.it
I Sapori Salentini,Italian restaurant,https://social.quandoo.com/en/groups/i-sapori-salentini-102822,379 293 3755,"40.30784542982481, 18.25816745479371, Provinciale Lizzanello",Pisignano,Lecce,
RISTORANTE LA TORRE,Restaurant,https://latorre-ristorante.com/,328 126 5651,"Via Fratelli Bandiera, 116",Lizzanello,Lecce,
